group25, d : 373, weight = 0.250000, result = 14
group25, d : 53, weight = 0.250000, result = 9
group25, d : 73, weight = 0.250000, result = 7
group25, d : 63, weight = 0.250000, result = 14
group25, d : 293, weight = 0.250000, result = 9
group25, d : 423, weight = 0.375000, result = 12
group25, d : 33, weight = 0.250000, result = 8
group25, d : 83, weight = 0.250000, result = 13
group25, d : 273, weight = 0.375000, result = 11
group25, d : 203, weight = 0.375000, result = 9
group25, d : 333, weight = 0.500000, result = 8
group25, d : 263, weight = 0.500000, result = 2
group25, d : 493, weight = 0.500000, result = 7
group25, d : 403, weight = 0.500000, result = 7
group25, d : 473, weight = 0.500000, result = 13
group25, d : 443, weight = 0.500000, result = 11
group25, d : 413, weight = 0.500000, result = 10
group25, d : 313, weight = 0.500000, result = 5
group25, d : 383, weight = 0.500000, result = 7
group25, d : 213, weight = 0.500000, result = 8
group25, d : 153, weight = 0.500000, result = 9
group25, d : 113, weight = 0.500000, result = 5
group25, d : 183, weight = 0.500000, result = 10
group25, d : 283, weight = 0.375000, result = 8
group25, d : 173, weight = 0.500000, result = 9
group25, d : 23, weight = 0.500000, result = 9
group25, d : 13, weight = 0.500000, result = 16
group25, d : 133, weight = 0.500000, result = 8
group25, d : 43, weight = 0.500000, result = 10
group25, d : 323, weight = 0.375000, result = 11
group25, d : 3, weight = 0.375000, result = 8
group25, d : 123, weight = 0.500000, result = 8
group25, d : 103, weight = 0.500000, result = 6
group25, d : 93, weight = 0.500000, result = 8
group25, d : 463, weight = 0.375000, result = 9
group25, d : 453, weight = 0.375000, result = 5
group25, d : 433, weight = 0.375000, result = 13
group25, d : 353, weight = 0.375000, result = 5
group25, d : 483, weight = 0.375000, result = 5
group25, d : 363, weight = 0.375000, result = 7
group25, d : 423, weight = 0.500000, result = 9
group25, d : 243, weight = 0.375000, result = 4
group25, d : 253, weight = 0.375000, result = 9
group25, d : 143, weight = 0.375000, result = 8
group25, d : 303, weight = 0.375000, result = 6
group25, d : 233, weight = 0.500000, result = 6
group25, d : 343, weight = 0.375000, result = 9
group25, d : 193, weight = 0.375000, result = 8
group25, d : 393, weight = 0.375000, result = 9
group25, d : 163, weight = 0.375000, result = 10
group25, d : 223, weight = 0.375000, result = 5
group25, d : 373, weight = 0.375000, result = 4
group25, d : 73, weight = 0.375000, result = 5
group25, d : 53, weight = 0.375000, result = 11
group25, d : 63, weight = 0.375000, result = 8
group25, d : 293, weight = 0.375000, result = 8
group25, d : 33, weight = 0.375000, result = 9
group25, d : 203, weight = 0.500000, result = 8
group25, d : 83, weight = 0.375000, result = 7
group25, d : 273, weight = 0.500000, result = 8
group25, d : 334, weight = 0.250000, result = 12
group25, d : 404, weight = 0.250000, result = 7
group25, d : 264, weight = 0.250000, result = 8
group25, d : 474, weight = 0.250000, result = 7
group25, d : 494, weight = 0.250000, result = 9
group25, d : 444, weight = 0.250000, result = 13
group25, d : 414, weight = 0.250000, result = 9
group25, d : 314, weight = 0.250000, result = 8
group25, d : 384, weight = 0.250000, result = 11
group25, d : 214, weight = 0.250000, result = 7
group25, d : 154, weight = 0.250000, result = 14
group25, d : 114, weight = 0.250000, result = 6
group25, d : 184, weight = 0.250000, result = 11
group25, d : 283, weight = 0.500000, result = 12
group25, d : 174, weight = 0.250000, result = 12
group25, d : 24, weight = 0.250000, result = 9
group25, d : 14, weight = 0.250000, result = 8
group25, d : 134, weight = 0.250000, result = 7
group25, d : 44, weight = 0.250000, result = 14
group25, d : 323, weight = 0.500000, result = 5
group25, d : 94, weight = 0.250000, result = 10
group25, d : 424, weight = 0.250000, result = 13
group25, d : 3, weight = 0.500000, result = 4
group25, d : 124, weight = 0.250000, result = 7
group25, d : 104, weight = 0.250000, result = 11
group25, d : 463, weight = 0.500000, result = 11
group25, d : 453, weight = 0.500000, result = 12
group25, d : 433, weight = 0.500000, result = 12
group25, d : 353, weight = 0.500000, result = 7
group25, d : 363, weight = 0.500000, result = 7
group25, d : 483, weight = 0.500000, result = 12
group25, d : 243, weight = 0.500000, result = 9
group25, d : 253, weight = 0.500000, result = 6
group25, d : 303, weight = 0.500000, result = 10
group25, d : 143, weight = 0.500000, result = 6
group25, d : 234, weight = 0.250000, result = 9
group25, d : 343, weight = 0.500000, result = 8
group25, d : 193, weight = 0.500000, result = 7
group25, d : 163, weight = 0.500000, result = 10
group25, d : 393, weight = 0.500000, result = 4
group25, d : 223, weight = 0.500000, result = 10
group25, d : 373, weight = 0.500000, result = 2
group25, d : 204, weight = 0.250000, result = 14
group25, d : 73, weight = 0.500000, result = 11
group25, d : 53, weight = 0.500000, result = 12
group25, d : 63, weight = 0.500000, result = 3
group25, d : 293, weight = 0.500000, result = 12
group25, d : 334, weight = 0.375000, result = 14
group25, d : 33, weight = 0.500000, result = 5
group25, d : 404, weight = 0.375000, result = 9
group25, d : 264, weight = 0.375000, result = 12
group25, d : 474, weight = 0.375000, result = 9
group25, d : 494, weight = 0.375000, result = 7
group25, d : 414, weight = 0.375000, result = 7
group25, d : 444, weight = 0.375000, result = 9
group25, d : 83, weight = 0.500000, result = 14
group25, d : 314, weight = 0.375000, result = 7
group25, d : 214, weight = 0.375000, result = 14
group25, d : 384, weight = 0.375000, result = 5
group25, d : 154, weight = 0.375000, result = 7
group25, d : 114, weight = 0.375000, result = 8
