,0.25,0.375,0.5
824,21.0,18.0,29.0
825,12.0,11.0,19.0
826,7.0,14.0,9.0
827,11.0,8.0,10.0
828,12.0,21.0,10.0
829,11.0,22.0,9.0
830,10.0,8.0,7.0
831,12.0,20.0,17.0
832,13.0,4.0,9.0
833,11.0,18.0,5.0
834,11.0,11.0,10.0
835,12.0,9.0,8.0
836,14.0,9.0,10.0
837,16.0,12.0,7.0
838,5.0,13.0,10.0
839,7.0,13.0,13.0
840,15.0,5.0,7.0
841,7.0,17.0,11.0
842,16.0,21.0,8.0
843,8.0,18.0,10.0
844,17.0,15.0,6.0
845,14.0,14.0,21.0
846,10.0,10.0,5.0
847,14.0,13.0,9.0
848,9.0,7.0,29.0
849,17.0,14.0,9.0
850,17.0,17.0,10.0
851,19.0,10.0,6.0
852,14.0,15.0,11.0
853,10.0,10.0,5.0
854,14.0,8.0,9.0
855,14.0,17.0,10.0
856,14.0,10.0,22.0
857,19.0,7.0,13.0
858,9.0,11.0,16.0
859,12.0,9.0,27.0
860,10.0,24.0,14.0
861,13.0,21.0,18.0
862,10.0,12.0,12.0
863,17.0,8.0,11.0
864,12.0,20.0,9.0
865,9.0,10.0,29.0
866,14.0,14.0,26.0
867,26.0,10.0,18.0
868,10.0,11.0,8.0
869,11.0,9.0,6.0
870,13.0,9.0,12.0
871,12.0,25.0,10.0
872,9.0,5.0,10.0
873,8.0,5.0,8.0
874,12.0,9.0,19.0
875,12.0,10.0,11.0
876,17.0,10.0,27.0
877,14.0,15.0,9.0
878,12.0,16.0,18.0
879,6.0,15.0,9.0
880,14.0,10.0,9.0
881,15.0,13.0,7.0
882,9.0,9.0,6.0
883,13.0,8.0,6.0
884,16.0,10.0,11.0
885,12.0,20.0,11.0
886,7.0,7.0,22.0
887,4.0,5.0,14.0
888,10.0,9.0,17.0
889,9.0,6.0,23.0
890,9.0,5.0,11.0
891,12.0,8.0,5.0
892,11.0,5.0,25.0
893,13.0,10.0,10.0
894,10.0,6.0,13.0
895,13.0,14.0,9.0
896,14.0,10.0,2.0
897,19.0,18.0,14.0
898,9.0,9.0,8.0
899,10.0,9.0,9.0
900,7.0,10.0,8.0
901,13.0,11.0,21.0
902,7.0,17.0,12.0
903,10.0,15.0,17.0
904,8.0,20.0,9.0
905,14.0,14.0,10.0
906,10.0,10.0,16.0
907,15.0,16.0,8.0
908,9.0,6.0,11.0
909,16.0,11.0,4.0
910,18.0,25.0,7.0
911,17.0,22.0,14.0
912,19.0,14.0,30.0
913,19.0,13.0,13.0
914,16.0,5.0,9.0
915,11.0,10.0,7.0
916,10.0,14.0,4.0
917,16.0,10.0,23.0
918,20.0,12.0,24.0
919,10.0,13.0,8.0
920,12.0,17.0,9.0
921,12.0,9.0,9.0
922,19.0,20.0,11.0
923,9.0,23.0,13.0
924,6.0,6.0,10.0
925,6.0,21.0,19.0
926,15.0,11.0,32.0
927,14.0,15.0,7.0
928,8.0,22.0,9.0
929,13.0,7.0,12.0
930,11.0,15.0,27.0
931,14.0,10.0,7.0
932,19.0,9.0,14.0
933,10.0,13.0,5.0
934,12.0,18.0,5.0
935,10.0,12.0,6.0
936,12.0,17.0,12.0
937,10.0,10.0,10.0
938,8.0,14.0,5.0
939,15.0,22.0,11.0
940,13.0,6.0,20.0
941,19.0,11.0,7.0
942,22.0,9.0,17.0
943,9.0,10.0,8.0
944,16.0,22.0,26.0
945,10.0,12.0,9.0
946,9.0,8.0,9.0
947,12.0,14.0,10.0
948,8.0,8.0,9.0
949,15.0,10.0,5.0
950,11.0,18.0,9.0
951,12.0,10.0,6.0
952,15.0,10.0,12.0
953,15.0,8.0,25.0
954,8.0,13.0,11.0
955,10.0,12.0,18.0
956,14.0,6.0,13.0
957,12.0,8.0,13.0
958,11.0,8.0,13.0
959,13.0,11.0,9.0
960,11.0,10.0,6.0
961,3.0,9.0,8.0
962,9.0,23.0,5.0
963,11.0,19.0,11.0
964,8.0,9.0,4.0
965,8.0,16.0,23.0
966,8.0,9.0,11.0
967,11.0,10.0,9.0
968,13.0,7.0,7.0
969,15.0,8.0,16.0
970,7.0,12.0,16.0
971,15.0,10.0,10.0
972,11.0,20.0,21.0
973,15.0,8.0,12.0
974,13.0,4.0,14.0
975,16.0,11.0,5.0
976,13.0,9.0,33.0
977,14.0,13.0,18.0
978,24.0,7.0,17.0
