,0.25,0.375,0.5
800,15.0,12.0,9.0
801,18.0,17.0,6.0
802,10.0,14.0,13.0
803,14.0,18.0,10.0
804,12.0,22.0,7.0
805,15.0,14.0,10.0
806,16.0,16.0,8.0
807,10.0,13.0,11.0
808,11.0,8.0,7.0
809,14.0,10.0,26.0
810,8.0,10.0,12.0
811,14.0,26.0,10.0
812,19.0,20.0,8.0
813,16.0,16.0,7.0
814,13.0,7.0,10.0
815,15.0,12.0,4.0
816,15.0,14.0,8.0
817,9.0,10.0,7.0
818,21.0,11.0,10.0
819,14.0,9.0,7.0
820,10.0,15.0,21.0
821,12.0,13.0,5.0
822,7.0,18.0,31.0
823,17.0,10.0,7.0
824,12.0,4.0,23.0
825,13.0,11.0,23.0
826,10.0,4.0,10.0
827,11.0,8.0,16.0
828,13.0,4.0,20.0
829,12.0,7.0,10.0
830,11.0,8.0,22.0
831,6.0,9.0,6.0
832,13.0,11.0,10.0
833,11.0,10.0,11.0
834,18.0,11.0,6.0
835,12.0,9.0,11.0
836,17.0,9.0,8.0
837,10.0,11.0,12.0
838,19.0,7.0,22.0
839,10.0,15.0,11.0
840,15.0,8.0,5.0
841,14.0,11.0,13.0
842,14.0,8.0,8.0
843,15.0,15.0,10.0
844,17.0,12.0,9.0
845,9.0,14.0,6.0
846,16.0,11.0,6.0
847,11.0,15.0,8.0
848,11.0,26.0,9.0
849,8.0,14.0,9.0
850,15.0,10.0,12.0
851,11.0,10.0,7.0
852,16.0,13.0,7.0
853,7.0,8.0,11.0
854,14.0,7.0,6.0
855,13.0,7.0,12.0
856,7.0,21.0,7.0
857,13.0,12.0,7.0
858,6.0,15.0,25.0
859,12.0,9.0,23.0
860,10.0,14.0,6.0
861,10.0,14.0,7.0
862,13.0,7.0,8.0
863,16.0,11.0,15.0
864,22.0,19.0,8.0
865,19.0,8.0,7.0
866,18.0,17.0,7.0
867,11.0,18.0,10.0
868,12.0,18.0,12.0
869,17.0,9.0,14.0
870,14.0,13.0,11.0
871,14.0,10.0,12.0
872,12.0,10.0,25.0
873,10.0,10.0,5.0
874,9.0,10.0,13.0
875,7.0,20.0,15.0
876,11.0,12.0,21.0
877,17.0,11.0,10.0
878,14.0,16.0,9.0
879,15.0,8.0,9.0
880,9.0,11.0,9.0
881,12.0,7.0,9.0
882,8.0,9.0,9.0
883,5.0,8.0,22.0
884,7.0,7.0,16.0
885,15.0,14.0,7.0
886,19.0,16.0,31.0
887,13.0,11.0,8.0
888,21.0,9.0,7.0
889,10.0,14.0,23.0
890,15.0,17.0,5.0
891,10.0,15.0,28.0
892,9.0,17.0,7.0
893,9.0,13.0,10.0
894,7.0,14.0,7.0
895,17.0,27.0,12.0
896,11.0,7.0,8.0
897,5.0,13.0,9.0
898,17.0,14.0,3.0
899,7.0,16.0,21.0
900,14.0,11.0,10.0
901,15.0,12.0,8.0
902,11.0,13.0,6.0
903,8.0,12.0,10.0
904,6.0,20.0,10.0
905,13.0,16.0,8.0
906,10.0,9.0,10.0
907,7.0,13.0,6.0
908,18.0,6.0,14.0
909,15.0,20.0,8.0
910,7.0,25.0,6.0
911,9.0,7.0,25.0
912,10.0,16.0,11.0
913,19.0,9.0,10.0
914,14.0,8.0,6.0
915,11.0,9.0,8.0
916,11.0,8.0,27.0
917,8.0,10.0,8.0
918,11.0,9.0,30.0
919,5.0,11.0,6.0
920,10.0,11.0,38.0
921,9.0,7.0,24.0
922,12.0,9.0,8.0
923,10.0,9.0,11.0
924,16.0,12.0,6.0
925,22.0,16.0,7.0
926,12.0,9.0,8.0
927,10.0,10.0,28.0
928,14.0,5.0,20.0
929,9.0,15.0,6.0
930,10.0,19.0,18.0
931,8.0,8.0,8.0
932,4.0,12.0,2.0
933,5.0,14.0,28.0
934,19.0,7.0,6.0
935,14.0,13.0,13.0
936,6.0,10.0,8.0
937,10.0,14.0,13.0
938,12.0,14.0,7.0
939,11.0,7.0,23.0
940,18.0,14.0,31.0
941,8.0,10.0,7.0
942,12.0,20.0,12.0
943,15.0,18.0,10.0
944,11.0,10.0,3.0
945,13.0,14.0,7.0
946,12.0,10.0,9.0
947,13.0,6.0,28.0
948,13.0,21.0,13.0
949,15.0,22.0,13.0
950,17.0,11.0,5.0
951,9.0,6.0,25.0
952,14.0,25.0,7.0
953,16.0,10.0,10.0
954,10.0,6.0,7.0
955,13.0,14.0,13.0
956,9.0,15.0,11.0
957,10.0,13.0,2.0
958,11.0,5.0,18.0
