group : 1, d : 93, weight = 0.100000, result = 16
group : 3, d : 272, weight = 0.100000, result = 12
group : 3, d : 252, weight = 0.100000, result = 10
group : 3, d : 282, weight = 0.100000, result = 7
group : 3, d : 422, weight = 0.100000, result = 9
group : 3, d : 332, weight = 0.100000, result = 18
group : 3, d : 382, weight = 0.100000, result = 8
group : 3, d : 402, weight = 0.100000, result = 7
group : 3, d : 132, weight = 0.100000, result = 17
group : 3, d : 202, weight = 0.100000, result = 9
group : 3, d : 212, weight = 0.100000, result = 14
group : 3, d : 452, weight = 0.100000, result = 11
group : 3, d : 182, weight = 0.100000, result = 9
group : 3, d : 352, weight = 0.100000, result = 8
group : 3, d : 442, weight = 0.100000, result = 15
group : 3, d : 262, weight = 0.100000, result = 14
group : 3, d : 162, weight = 0.100000, result = 14
group : 3, d : 362, weight = 0.100000, result = 7
group : 3, d : 112, weight = 0.100000, result = 9
group : 3, d : 82, weight = 0.100000, result = 15
group : 3, d : 2, weight = 0.100000, result = 14
group : 3, d : 22, weight = 0.100000, result = 9
group : 3, d : 242, weight = 0.100000, result = 11
group : 3, d : 152, weight = 0.100000, result = 9
group : 3, d : 432, weight = 0.100000, result = 13
group : 3, d : 482, weight = 0.100000, result = 11
group : 3, d : 472, weight = 0.100000, result = 7
group : 3, d : 322, weight = 0.100000, result = 12
group : 3, d : 462, weight = 0.100000, result = 15
group : 3, d : 412, weight = 0.100000, result = 14
group : 3, d : 372, weight = 0.100000, result = 6
group : 3, d : 52, weight = 0.100000, result = 10
group : 2, d : 343, weight = 0.100000, result = 11
group : 3, d : 142, weight = 0.100000, result = 9
group : 2, d : 293, weight = 0.100000, result = 8
group : 3, d : 493, weight = 0.100000, result = 10
group : 3, d : 42, weight = 0.100000, result = 10
group : 2, d : 303, weight = 0.100000, result = 7
group : 3, d : 232, weight = 0.100000, result = 12
group : 3, d : 32, weight = 0.100000, result = 15
group : 3, d : 192, weight = 0.100000, result = 2
group : 3, d : 62, weight = 0.100000, result = 15
group : 3, d : 122, weight = 0.100000, result = 13
group : 2, d : 73, weight = 0.100000, result = 8
group : 2, d : 313, weight = 0.100000, result = 8
group : 2, d : 173, weight = 0.100000, result = 5
group : 1, d : 103, weight = 0.100000, result = 11
group : 1, d : 223, weight = 0.100000, result = 7
group : 3, d : 393, weight = 0.100000, result = 6
group : 1, d : 13, weight = 0.100000, result = 14
group : 1, d : 23, weight = 0.100000, result = 8
group : 1, d : 494, weight = 0.100000, result = 9
group : 1, d : 273, weight = 0.100000, result = 12
group : 2, d : 93, weight = 0.100000, result = 21
group : 1, d : 253, weight = 0.100000, result = 12
group : 1, d : 283, weight = 0.100000, result = 11
group : 1, d : 423, weight = 0.100000, result = 8
group : 1, d : 403, weight = 0.100000, result = 8
group : 1, d : 333, weight = 0.100000, result = 17
group : 1, d : 383, weight = 0.100000, result = 9
group : 3, d : 343, weight = 0.100000, result = 8
group : 1, d : 453, weight = 0.100000, result = 9
group : 1, d : 443, weight = 0.100000, result = 9
group : 1, d : 353, weight = 0.100000, result = 8
group : 1, d : 133, weight = 0.100000, result = 10
group : 1, d : 203, weight = 0.100000, result = 9
group : 1, d : 213, weight = 0.100000, result = 8
group : 1, d : 183, weight = 0.100000, result = 16
group : 1, d : 363, weight = 0.100000, result = 11
group : 1, d : 263, weight = 0.100000, result = 16
group : 3, d : 293, weight = 0.100000, result = 10
group : 1, d : 163, weight = 0.100000, result = 9
group : 1, d : 113, weight = 0.100000, result = 9
group : 3, d : 303, weight = 0.100000, result = 50
group : 1, d : 83, weight = 0.100000, result = 13
group : 1, d : 3, weight = 0.100000, result = 12
group : 1, d : 243, weight = 0.100000, result = 12
group : 1, d : 153, weight = 0.100000, result = 7
group : 1, d : 483, weight = 0.100000, result = 18
group : 1, d : 433, weight = 0.100000, result = 15
group : 1, d : 473, weight = 0.100000, result = 13
group : 1, d : 323, weight = 0.100000, result = 5
group : 1, d : 463, weight = 0.100000, result = 38
group : 1, d : 413, weight = 0.100000, result = 19
group : 1, d : 373, weight = 0.100000, result = 11
group : 1, d : 53, weight = 0.100000, result = 9
group : 1, d : 143, weight = 0.100000, result = 10
group : 1, d : 43, weight = 0.100000, result = 10
group : 1, d : 233, weight = 0.100000, result = 19
group : 1, d : 33, weight = 0.100000, result = 13
group : 1, d : 193, weight = 0.100000, result = 11
group : 1, d : 63, weight = 0.100000, result = 7
group : 1, d : 123, weight = 0.100000, result = 17
